time,1.0,2.0,3.0,5.0,7.0,10.0,20.0,30.0,50.0,70.0,100.0,125.0,150.0,175.0,200.0,225.0,250.0,300.0,350.0,400.0,450.0,500.0,550.0,600.0,650.0,700.0,750.0,775.0,800.0,825.0,850.0,875.0,900.0,925.0,950.0,975.0,1000.0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00,2004-03-21 05:00:00
2004-03-21 05:00:00,-2.390429293242124e-06,-1.6244542591074316e-06,-2.7150333562688416e-06,-4.332661781019284e-07,5.409393795961504e-07,-1.8006468042794973e-07,-1.2154810300711272e-08,-7.27518640734859e-08,1.5838460870434886e-08,-5.380243525660338e-07,1.8657447684325962e-07,-9.603363034740324e-06,-2.001277478336505e-05,-1.2137449231280648e-05,1.9026115673928664e-05,1.5763648920394817e-05,3.857616342302044e-06,-5.508431839322092e-07,-6.0976357906263846e-06,-7.4077817393047425e-06,-1.2324470001386449e-05,-1.5479961120353506e-05,-1.6564373875962337e-05,-1.2898557588645384e-05,-6.298758916420108e-06,-8.612977654124505e-06,-3.807381630077073e-06,-3.770295395631152e-06,-8.403191452119412e-06,-1.0032658157272327e-05,-1.1820300693182876e-05,-1.296892896858637e-05,-1.2316587086633018e-05,-1.2788709571366486e-05,-1.5498404818822147e-05,-2.37197748219922e-05,-5.8031886981370615e-05
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00,2004-03-21 06:00:00
2004-03-21 06:00:00,-8.836603877683488e-07,3.0124275765160324e-07,4.726067633847639e-07,3.651254171506944e-08,2.716771192833494e-07,5.602250079304889e-08,-7.11271962943561e-08,-4.749016123051553e-08,-5.93776421930871e-08,-2.998281206725788e-07,-1.677335927221892e-07,-8.658190661311494e-06,-1.5000385792290731e-05,-4.156727157559668e-06,2.5122854942178827e-05,1.98848695794376e-05,3.2272303724126434e-06,1.517711198354673e-06,-8.93692180117891e-06,-1.1223740917263041e-05,-1.560236790103199e-05,-1.6653647209505777e-05,-1.5755074127754737e-05,-1.1777847410647266e-05,-6.075968599324362e-06,-5.027470783950039e-06,-5.413760359344851e-06,-4.463959970384451e-06,-8.137416837490204e-06,-1.1370128523543978e-05,-1.1996766990900547e-05,-1.2504262094480851e-05,-1.1755592788054522e-05,-1.2535586844380353e-05,-1.5078456558491487e-05,-2.4021985032422636e-05,-8.064326859406067e-05
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00,2004-03-21 07:00:00
2004-03-21 07:00:00,-1.0232498916225527e-06,1.3187960163051713e-06,-6.533685674904153e-07,2.0658654779215275e-07,3.001774773437892e-07,5.875531699800803e-07,-5.7210338107455105e-08,-5.389498230718018e-08,-4.883551549991712e-08,-6.01347182516227e-08,-7.132372473777022e-07,-9.742826848659107e-06,-1.662931938547123e-05,-2.46108569504897e-06,2.872139154952887e-05,2.2994376213621088e-05,4.831509200210392e-06,-2.9684988432206027e-06,-1.1756215102697087e-05,-1.5489425723073913e-05,-1.802177055331644e-05,-1.8843228526884013e-05,-1.7160772417577008e-05,-1.4760908177743896e-05,-8.113250102026047e-06,-6.813140450972558e-06,-6.874843145571585e-06,-5.382506693996358e-06,-8.35517439385461e-06,-1.226840810960147e-05,-1.3032432951585666e-05,-1.326983257328805e-05,-1.3066139678728775e-05,-1.3700215134194943e-05,-1.6171859061382158e-05,-2.459495418531171e-05,-8.100873386979873e-05
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
valid_time,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00,2004-03-21 08:00:00
2004-03-21 08:00:00,-6.987442039029462e-07,1.613285015648722e-06,-3.7722948958352946e-07,-1.5954738847713374e-07,7.301179638703112e-07,1.6377999563247324e-07,1.3313487198434868e-07,-1.4014677004485807e-08,-8.190882854848425e-08,-4.704244514156013e-08,-2.2844606676476203e-06,-1.1904164868450333e-05,-1.7232812673655198e-05,-1.1081056880148672e-05,1.540214993467226e-05,1.8965808755265942e-05,5.32000727983326e-07,1.1508819242604452e-06,-8.082358910985067e-06,-1.0125413992301786e-05,-1.1287870819323296e-05,-1.336398680149567e-05,-1.2425023982697664e-05,-1.0536144081712848e-05,-5.307098338904826e-06,-7.935227413869694e-06,-5.917577294645261e-06,-5.515207725052025e-06,-8.24446310087828e-06,-1.0723398451954494e-05,-1.256161823423757e-05,-1.4455648803257475e-05,-1.656912564489193e-05,-1.655645622503452e-05,-1.7145083469722588e-05,-2.7682037755092903e-05,-7.162637426762733e-05
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
